cntry,emd
AT,0.106297418475151
AU,0.144007444381714
BE,0.14189325273037
CH,0.107371337711811
CL,0.126991242170334
CZ,0.109429873526096
DE,0.0945401564240456
DK,0.132748484611511
ES,0.167285278439522
FI,0.111236847937107
FR,0.152863174676895
GB-GBN,0.125995680689812
GE,0.161875203251839
HR,0.114903904497623
HU,0.103170931339264
IL,0.157924294471741
IN,0.17326731979847
IS,0.135497748851776
JP,0.160901740193367
KR,0.165045648813248
LT,0.160523235797882
NL,0.139053821563721
NO,0.157053038477898
PH,0.190084144473076
PL,0.113901495933533
RU,0.146255344152451
SE,0.143773525953293
SI,0.111600503325462
SK,0.103349909186363
TR,0.163359761238098
TW,0.125450566411018
US,0.10965858399868
VE,0.181441336870193
ZA,0.152362927794456
